495.22,428.93,162.04,215.93
495.03,429.33,162.04,215.93
395.31,365.48,268.08,280.47
425.41,384.52,236.44,261.28
346.61,334.08,319.2,312.79
291.66,299.06,377.15,348.84
253.43,274.8,417.71,374.08
331.16,322.2,341.69,327.62
281.25,291.79,392.89,359.22
350.58,334.14,324.76,318.12
298.4,297.81,381.04,352.57
362.59,338.35,316.71,314.24
304.01,304.75,376.24,349.32
367.35,342.67,313.74,312.83
411.68,369.22,284.69,290.74
338.59,327.64,353.82,332.87
391.55,358.69,312.93,305.96
324.8,321.39,373.59,343.52
381.9,354.32,312.38,311.12
421.87,377.37,269.64,288.77
449.85,393.51,239.64,273.31
469.43,404.8,218.64,262.49
482.37,413.22,203.93,254.91
491.43,419.11,191.22,199.73
497.77,423.23,182.31,161.1
502.21,426.12,176.08,134.06
505.32,428.14,171.72,115.14
507.51,429.53,185.73,154.88
509.05,430.5,180.88,179.57
510.06,431.23,177.55,196.96
510.83,431.7,175.21,209.13
504.07,432.56,173.48,217.46
502.14,431.3,172.27,223.29
505.49,431.9,171.42,227.37
503.42,430.63,170.86,230.18
501.61,429.71,170.46,232.14
500.65,428.39,183.87,235.48
502.55,429.69,193.24,237.82
506.07,429.28,199.8,239.46
502.81,427.25,190.78,238.67
506.11,425.93,184.44,238.06
502.92,423.39,180,237.63
504.94,422.88,190.54,239.31
506,422.52,184.35,238.59
495.45,413.91,180.05,238.06
494.19,413.57,177.04,237.68
479.02,402.87,174.94,237.42
468.07,395.12,173.46,237.24
436.37,384.4,172.37,237.02
417.75,373.78,171.6,236.88
404.92,366.11,171.07,236.77
392.97,362.72,170.69,236.7
384.24,360.23,170.43,236.65
319.91,323.11,251.51,278.12
274.88,297.13,308.36,307
243.36,278.94,362.62,337.49
309.55,311.05,304.28,306.51
355.85,332.36,263.44,284.8
393.52,356.38,249.03,272.33
415.48,362.37,238.95,263.6
437.39,373.68,231.89,257.48
450.12,372.6,226.94,253.21
449.35,367.85,223.48,250.21
448.92,363.17,221.06,248.11
416.99,364.23,297.92,283.11
438.2,371.89,315.03,304.4
446.31,369.49,326.86,319.34
455.39,366.99,331.72,332.98
458.94,365.87,296.83,306.07
463.39,364.43,258.85,285.29
468.59,371.42,232.27,270.75
470.91,376.9,213.67,260.57
473.45,380.56,200.65,253.45
475.01,383.19,191.54,248.47
473.06,377.27,185.16,244.98
477.03,379.63,180.69,242.53
448.77,363.53,270.96,288.09
422.47,356.82,339.93,321.44
416.77,345.48,327.19,346.27
389.45,353.27,379.88,362.32
380.73,350.42,416.05,374.51
350.91,375.02,403.95,362.42
338.48,381.19,419.58,360.08
341.6,374.04,432.93,359.17
346.62,367.09,388.82,382.53
350.64,362.46,358.69,398.8
354.29,359.21,338.51,409.96
356.55,358.3,395.96,406.05
358.31,358.61,436.23,404.64
363.01,357.21,467.15,402.97
366.06,357.83,490.15,402.06
365.42,361.63,512.05,402.63
360.48,369.61,524.57,402.09
360.76,373.99,539.18,402.23
425.48,377.77,480.5,402.4
480.9,381.94,387.61,352.76
468.84,364.04,449.34,356.84
495.74,362.41,433.67,357.14
449.14,376.74,477.29,361.96
439.26,368,514.67,362.77
